ticker,event_date,filing_date,transaction_type,shares_before,shares_after,event_type,direction,source,cluster_flag,cluster_size,ret_5d,car_5d,ret_20d,car_20d,ret_60d,car_60d
NVDA,2018-08-12,2018-08-14,Sale,,193,partial_insider_sale,bearish,senate_disclosure,False,0,-0.03232896651782172,-0.04393743392038696,0.06570817409165206,0.042764115278580817,-0.17548254638965816,-0.14366092163405286
NVDA,2019-07-20,2019-07-23,Sale,,2895,partial_insider_sale,bearish,senate_disclosure,False,0,0.02042918587639668,0.009225620099143517,-0.003152275944800554,0.02543865518545596,0.14735170394641692,0.1490458162024877
NVDA,2019-11-09,2019-11-11,Sale,,113,partial_insider_sale,bearish,senate_disclosure,False,0,0.01969451321672751,0.008821848175953217,0.028618950731803507,0.015100594816430335,,
CDNS,2019-12-20,2019-12-21,Sale,,511,partial_insider_sale,bearish,senate_disclosure,False,0,-0.001426715356625502,-0.002492579859194044,,,,
SNPS,2019-08-22,2019-08-26,Sale,,576,partial_insider_sale,bearish,senate_disclosure,False,0,0.016618687471897483,0.016243079278644434,-0.023597113520121404,-0.04521637850370508,0.005107961970267536,-0.057268446542961704
CDNS,2018-04-04,2018-04-05,Sale,,874,partial_insider_sale,bearish,senate_disclosure,False,0,0.0005452687458361249,0.00011991291420188066,0.08969468070214556,0.09198408404048064,0.17502721143760214,0.1351815690560697
NVDA,2019-01-30,2019-02-03,Sale,,2276,partial_insider_sale,bearish,senate_disclosure,False,0,0.11361803004840067,0.09018429296275154,0.12394622278197186,0.07981027285974263,0.29757285440766434,0.1775199809564656
NVDA,2019-11-28,2019-11-29,Sale,,2796,partial_insider_sale,bearish,senate_disclosure,False,0,-0.021084979311404402,-0.022396824988754505,0.07188353249316605,0.04523641954712154,,
CDNS,2019-03-22,2019-03-24,Sale,,741,partial_insider_sale,bearish,senate_disclosure,False,0,0.028335492998059975,0.0166022765747722,0.039669702550578556,0.0010299212536666325,0.12062825397360706,0.07412886854340883
NVDA,2019-10-03,2019-10-06,Sale,,1262,partial_insider_sale,bearish,senate_disclosure,False,0,0.009486570790676583,0.0006126630098648445,0.10870861826392772,0.06357094834376409,0.2822867641895648,0.1528753565453067
NVDA,2019-07-07,2019-07-12,Sale,,169,partial_insider_sale,bearish,senate_disclosure,False,0,0.06399086029723079,0.04976982606344138,-0.04083712567188975,0.00800252421132197,0.10789498229536633,0.1274967686764651
NVDA,2018-03-29,2018-04-02,Sale,,1061,partial_insider_sale,bearish,senate_disclosure,False,0,-0.07487370021254722,-0.06333570266019173,-0.02271265375047277,-0.030416104529936705,0.033152903480127636,0.009667210279893257
SNPS,2019-12-08,2019-12-10,Sale,,2671,partial_insider_sale,bearish,senate_disclosure,False,0,0.032970360172716005,0.015069076491892597,0.10299451415170702,0.061155577568609565,,
NVDA,2020-01-11,2020-01-16,Sale,,1663,partial_insider_sale,bearish,senate_disclosure,False,0,,,,,,
NVDA,2018-04-07,2018-04-08,Sale,,1922,partial_insider_sale,bearish,senate_disclosure,False,0,0.07464875508897399,0.050222648728055375,0.15444995232617398,0.12673730183005294,0.10016496799298785,0.06452918806247976
SNPS,2018-04-11,2018-04-12,Sale,,774,partial_insider_sale,bearish,senate_disclosure,False,0,0.03042326440456413,0.0054237049812958515,0.09223181615178348,0.06765644727439823,0.060365517340082726,0.012979336009840914
NVDA,2018-06-20,2018-06-24,Sale,,130,partial_insider_sale,bearish,senate_disclosure,False,0,-0.10136848594360226,-0.08070276954487454,-0.03919035055031586,-0.0506107007858525,0.05440564814595852,0.008985310497090282
NVDA,2018-03-01,2018-03-06,Sale,,68,partial_insider_sale,bearish,senate_disclosure,False,0,0.038629021781132755,0.014739548411669579,-0.0026699185277636083,0.017860046808354846,0.07417522279412955,0.06691463418579335
NVDA,2019-09-27,2019-09-28,Sale,,2601,partial_insider_sale,bearish,senate_disclosure,False,0,0.05944331510387887,0.062158445432460185,0.19084754125628067,0.15843945412134708,0.3914543711061472,0.2518763833966733
NVDA,2019-12-05,2019-12-08,Sale,,218,partial_insider_sale,bearish,senate_disclosure,False,0,0.07344092725941141,0.05529835724408538,0.13567102036223205,0.08751341383467037,,
SNPS,2018-09-26,2018-09-28,Sale,,89,partial_insider_sale,bearish,senate_disclosure,False,0,-0.006836716009646046,-0.013098247969293375,-0.10448977412009726,-0.018628653545313623,-0.17551017294124682,-0.004334011249618519
NVDA,2019-12-09,2019-12-11,Sale,,616,partial_insider_sale,bearish,senate_disclosure,False,0,0.06117745819122552,0.042208807233255596,0.13295945222540653,0.08853591210255274,,
NVDA,2019-11-30,2019-12-02,Sale,,1674,partial_insider_sale,bearish,senate_disclosure,False,0,0.013954594803261026,0.006810137700647867,0.12449194691974408,0.08169650145595453,,
SNPS,2018-06-08,2018-06-10,Sale,,60,partial_insider_sale,bearish,senate_disclosure,False,0,0.0006628831861416279,1.3565099115764312e-05,-0.02231802259180751,-0.02535601700516832,0.12495853819084646,0.07603831445285869
